shot_id,sensor_ts_ns,capture_start_ns,capture_done_ns,queue_put_ns,map_start_ns,map_done_ns,release_ns,proc_start_ns,proc_done_ns,frame_queue_size,capture_latency_ns,map_latency_ns,release_delay_ns,post_release_processing_ns,queue_delay_ns,processing_latency_ns,sensor_delta_ns,capture_start_delta_ns,proc_start_delta_ns,num_detections
frame_000000,1784377336314175079,46571028728646,46571829282968,46571830729783,46571830952073,46571962610660,46571969868377,46571830946761,46571970102438,1,800554322,131658587,7257717,234061,216978,139155677,,,,6
frame_000001,1784377336414188611,46571838144009,46571929675857,46571930091532,46571972742943,46572006379513,46572014174935,46571972736068,46572014414725,0,91531848,33636570,7795422,239790,42644536,41678657,100013532,809415363,141789307,9
frame_000002,1784377336514202465,46571930318301,46572033181956,46572033595600,46572033773359,46572228379329,46572235817722,46572033768932,46572235947930,1,102863655,194605970,7438393,130208,173332,202178998,100013854,92174292,61032864,4
frame_000003,1784377336614223673,46572034258304,46572168169481,46572168653749,46572236364438,46572326223483,46572336533838,46572236359594,46572336741441,1,133911177,89859045,10310355,207603,67705845,100381847,100021208,103940003,202590662,6
frame_000004,1784377336714234881,46572168887967,46572312717418,46572313279602,46572337061908,46572389176127,46572396637853,46572337055398,46572396814727,0,143829451,52114219,7461726,176874,23775796,59759329,100011208,134629663,100695804,7
frame_000005,1784377336814265361,46572313579601,46572404572702,46572405034366,46572405223167,46572462257200,46572469814238,46572405218271,46572688307722,2,90993101,57034033,7557038,218493484,183905,283089451,100030480,144691634,68162873,6
frame_000006,1784377336914292829,46572405802226,46572459955912,46572460421690,46572692085408,46572751384063,46572758644749,46572692076241,46572999421380,2,54153686,59298655,7260686,240776631,231654551,307345139,100027468,92222625,286857970,7
frame_000007,1784377337014280517,46572460629345,46572532763601,46572533218494,46573003446929,46573052550125,46573060511952,46573003441200,46573184232566,2,72134256,49103196,7961827,123720614,470222706,180791366,99987688,54827119,311364959,4
frame_000008,1784377337114292777,46572535421554,46572824537375,46572824958987,46573188322854,46573234583827,46573242408624,46573188314521,46573270325957,1,289115821,46260973,7824797,27917333,363355534,82011436,100012260,74792209,184873321,2
frame_000009,1784377337214304142,46572825192059,46573123768188,46573124276258,46573270744496,46573335458796,46573343648591,46573270738558,46573450486753,2,298576129,64714300,8189795,106838162,146462300,179748195,100011365,289770505,82424037,5
frame_000010,1784377337314318673,46573124493913,46573324231051,46573324724485,46573454494542,46573495825805,46573504209661,46573454487927,46573525617658,1,199737138,41331263,8383856,21407997,129763442,71129731,100014531,299301854,183749369,2
frame_000011,1784377337414332204,46573324968755,46573410431264,46573410869334,46573530059246,46573597961443,46573606146447,46573530052996,46573840818011,2,85462509,67902197,8185004,234671564,119183662,310765015,100013531,200474842,75565069,8
frame_000012,1784377337514348402,46573411076625,46573588318897,46573588826550,46573844675227,46573921201384,46573928633839,46573844668508,46574036392673,2,177242272,76526157,7432455,107758834,255841958,191724165,100016198,86107870,314615512,6
frame_000013,1784377337814392621,46573589123007,46573669347683,46573669805284,46574040101766,46574079775226,46574087210911,46574040095047,46574178004950,2,80224676,39673460,7435685,90794039,370289763,137909903,300044219,178046382,195426539,4
frame_000014,1784377338014422403,46573670042054,46573991749555,46573992247156,46574181801751,46574221901979,46574229395945,46574181795657,46574489471211,2,321707501,40100228,7493966,260075266,189548501,307675554,200029782,80919047,141700610,9
frame_000015,1784377338114435256,46573992895277,46574150216054,46574150617458,46574493297074,46574533637197,46574541326057,46574493290407,46574686528000,2,157320777,40340123,7688860,145201943,342672949,193237593,100012853,322853223,311494750,6
frame_000016,1784377338314463256,46574150832874,46574292510098,46574292916711,46574690466050,46574731778875,46574739285185,46574690459904,46574982500083,2,141677224,41312825,7506310,243214898,397543193,292040179,200028000,157937597,197169497,9
frame_000017,1784377338414477256,46574293131449,46574604979947,46574605382236,46574986322664,46575029920164,46575037315432,46574986316466,46575054601526,1,311848498,43597500,7395268,17286094,380934230,68285060,100014000,142298575,295856562,2
frame_000018,1784377338714522360,46574605600776,46574802352984,46574802794648,46575058811241,46575113608933,46575121226596,46575058803741,46575299301468,2,196752208,54797692,7617663,178074872,256009093,240497727,300045104,312469327,72487275,7
frame_000019,1784377338914552621,46574803024178,46575108446829,46575108853962,46575303263319,46575343729900,46575351543447,46575303257538,46575351635946,1,305422651,40466581,7813547,92499,194403576,48378408,200030261,197423402,244453797,1
frame_000020,1784377339014568037,46575109082086,46575184236219,46575184715175,46575351899486,46575407042438,46575423620151,46575351894226,46575504595656,2,75154133,55142952,16577713,80975505,167179051,152701430,100015416,306057908,48636688,5
frame_000021,1784377339314607934,46575184948454,46575424131658,46575424571499,46575508419852,46575549438044,46575556772114,46575508413497,46575680041481,2,239183204,41018192,7334070,123269367,83841998,171627984,300039897,75866368,156519271,5
frame_000022,1784377339514641205,46575424814831,46575486910814,46575487360082,46575683723958,46575722868620,46575730148316,46575683717865,46575986490792,2,62095983,39144662,7279696,256342476,196357783,302772927,200033271,239866377,175304368,7
